user1;192.168.10.55;2026-02-04 07:10:16;Sem logout;1770189016;
user2;192.168.22.33;2026-02-04 07:30:47;Sem logout;1770190247;
user1;192.168.21.45;2026-02-04 08:22:30;Sem logout;1770193350;
user2;192.168.33.77;2026-02-04 08:28:54;Sem logout;1770193734;
user1;192.168.21.45;2026-02-04 08:34:45;Sem logout;1770194085;
user2;192.168.33.77;2026-02-05 07:45:12;Sem logout;1770277512;
user1;192.168.21.45;2026-02-06 09:20:33;Sem logout;1770369633;
user2;192.168.33.77;2026-02-07 07:55:42;Sem logout;1770450942;
user1;192.168.21.45;2026-02-08 06:20:45;Sem logout;1770531645;
user2;192.168.33.77;2026-02-09 09:33:56;Sem logout;1770629636;
user3;192.168.98.56;2026-02-10 06:45:29;Sem logout;1770705929;
admin;192.168.1.50;2026-02-10 20:02:15;2026-02-10 20:15:45;1770753735;1770754545
joao;10.0.0.5;2026-02-10 20:05:20;2026-02-10 20:45:10;1770753920;1770756310
user4;192.168.65.112;2026-02-11 07:55:41;Sem logout;1770796541;
user5;192.168.78.190;2026-02-12 08:45:56;Sem logout;1770885956;
